id,version,method,target_x,target_y,sourceCenter_x,sourceCenter_y,sourceRadius,source_x,source_y,visited
achiran-067,0.0.3,BFS,731,1070,794,1128,47,762,1094,2918
achiran-068,0.0.3,A*,1028,557,464,410,475,927,508,5515
achiran-068,0.0.3,BFS,1028,557,464,410,475,928,508,51105
achiran-069,0.0.3,A*,1124,152,784,871,86,867,872,1989692
achiran-069,0.0.3,BFS,1124,152,784,871,86,699,876,975211
achiran-070,0.0.3,A*,1291,670,1275,1501,240,1322,1267,15377
achiran-070,0.0.3,BFS,1291,670,1275,1501,240,1322,1266,349056
achiran-071,0.0.3,A*,330,428,610,253,201,469,396,2216
achiran-071,0.0.3,BFS,330,428,610,253,201,469,396,35244
achiran-072,0.0.3,A*,262,800,44,800,11,46,809,5315
achiran-072,0.0.3,BFS,262,800,44,800,11,36,793,80419
achiran-073,0.0.3,A*,741,876,618,571,316,713,872,169
achiran-073,0.0.3,BFS,741,876,618,571,316,714,872,967
achiran-074,0.0.3,A*,740,528,1010,924,457,764,539,210
achiran-074,0.0.3,BFS,740,528,1010,924,457,764,539,1198
achiran-075,0.0.3,A*,991,260,636,163,346,970,247,353
achiran-075,0.0.3,BFS,991,260,636,163,346,971,247,1239
achiran-076,0.0.3,A*,1291,670,1522,1316,229,1353,1218,15379
achiran-076,0.0.3,BFS,1291,670,1522,1316,229,1352,1218,336414
achiran-077,0.0.3,BFS,1234,1487,1345,1480,81,1267,1501,2896
achiran-078,0.0.3,BFS,1631,1426,1871,1108,374,1705,1443,10851
achiran-079,0.0.3,BFS,1041,261,613,907,460,419,491,535646
achiran-080,0.0.3,A*,841,851,1079,1101,246,925,910,1158
achiran-080,0.0.3,BFS,841,851,1079,1101,246,925,910,26574
achiran-081,0.0.3,A*,482,390,752,207,194,593,318,2003
achiran-081,0.0.3,BFS,482,390,752,207,194,593,318,30473
achiran-082,0.0.3,A*,637,896,1181,1082,477,749,880,1173
achiran-082,0.0.3,BFS,637,896,1181,1082,477,750,879,16494
